Category,Problem,Link
Geometry,Lines and Queries I,https://cses.fi/problemset/task/3429
Geometry,Lines and Queries II,https://cses.fi/problemset/task/3430
Geometry,Area of Rectangles,https://cses.fi/problemset/task/1741
Geometry,Robot Path,https://cses.fi/problemset/task/1742
Advanced Techniques,Meet in the Middle,https://cses.fi/problemset/task/1628
Advanced Techniques,Hamming Distance,https://cses.fi/problemset/task/2136
Advanced Techniques,Corner Subgrid Check,https://cses.fi/problemset/task/3360
Advanced Techniques,Corner Subgrid Count,https://cses.fi/problemset/task/2137
Advanced Techniques,Reachable Nodes,https://cses.fi/problemset/task/2138
Advanced Techniques,Reachability Queries,https://cses.fi/problemset/task/2143
Advanced Techniques,Cut and Paste,https://cses.fi/problemset/task/2072
Advanced Techniques,Substring Reversals,https://cses.fi/problemset/task/2073
Advanced Techniques,Reversals and Sums,https://cses.fi/problemset/task/2074
Advanced Techniques,Necessary Roads,https://cses.fi/problemset/task/2076
Advanced Techniques,Necessary Cities,https://cses.fi/problemset/task/2077
Advanced Techniques,Eulerian Subgraphs,https://cses.fi/problemset/task/2078
Advanced Techniques,Monster Game I,https://cses.fi/problemset/task/2084
Advanced Techniques,Monster Game II,https://cses.fi/problemset/task/2085
Advanced Techniques,Subarray Squares,https://cses.fi/problemset/task/2086
Advanced Techniques,Houses and Schools,https://cses.fi/problemset/task/2087
Advanced Techniques,Knuth Division,https://cses.fi/problemset/task/2088
Advanced Techniques,Apples and Bananas,https://cses.fi/problemset/task/2111
Advanced Techniques,One Bit Positions,https://cses.fi/problemset/task/2112
Advanced Techniques,Signal Processing,https://cses.fi/problemset/task/2113
Advanced Techniques,New Roads Queries,https://cses.fi/problemset/task/2101
Advanced Techniques,Dynamic Connectivity,https://cses.fi/problemset/task/2133
Advanced Techniques,Parcel Delivery,https://cses.fi/problemset/task/2121
Advanced Techniques,Task Assignment,https://cses.fi/problemset/task/2129
Advanced Techniques,Distinct Routes II,https://cses.fi/problemset/task/2130
Sliding Window Problems,Sliding Window Sum,https://cses.fi/problemset/task/3220
Sliding Window Problems,Sliding Window Minimum,https://cses.fi/problemset/task/3221
Sliding Window Problems,Sliding Window Xor,https://cses.fi/problemset/task/3426
Sliding Window Problems,Sliding Window Or,https://cses.fi/problemset/task/3405
Sliding Window Problems,Sliding Window Distinct Values,https://cses.fi/problemset/task/3222
Sliding Window Problems,Sliding Window Mode,https://cses.fi/problemset/task/3224
Sliding Window Problems,Sliding Window Mex,https://cses.fi/problemset/task/3219
Sliding Window Problems,Sliding Window Median,https://cses.fi/problemset/task/1076
Sliding Window Problems,Sliding Window Cost,https://cses.fi/problemset/task/1077
Sliding Window Problems,Sliding Window Inversions,https://cses.fi/problemset/task/3223
Sliding Window Problems,Sliding Window Advertisement,https://cses.fi/problemset/task/3227
Interactive Problems,Hidden Integer,https://cses.fi/problemset/task/3112
Interactive Problems,Hidden Permutation,https://cses.fi/problemset/task/3139
Interactive Problems,K-th Highest Score,https://cses.fi/problemset/task/3305
Interactive Problems,Permuted Binary Strings,https://cses.fi/problemset/task/3228
Interactive Problems,Colored Chairs,https://cses.fi/problemset/task/3273
Interactive Problems,Inversion Sorting,https://cses.fi/problemset/task/3140
Bitwise Operations,Counting Bits,https://cses.fi/problemset/task/1146
Bitwise Operations,Maximum Xor Subarray,https://cses.fi/problemset/task/1655
Bitwise Operations,Maximum Xor Subset,https://cses.fi/problemset/task/3191
Bitwise Operations,Number of Subset Xors,https://cses.fi/problemset/task/3211
Bitwise Operations,K Subset Xors,https://cses.fi/problemset/task/3192
Bitwise Operations,All Subarray Xors,https://cses.fi/problemset/task/3233
Bitwise Operations,Xor Pyramid Peak,https://cses.fi/problemset/task/2419
Bitwise Operations,Xor Pyramid Diagonal,https://cses.fi/problemset/task/3194
Bitwise Operations,Xor Pyramid Row,https://cses.fi/problemset/task/3195
Bitwise Operations,SOS Bit Problem,https://cses.fi/problemset/task/1654
Bitwise Operations,And Subset Count,https://cses.fi/problemset/task/3141
Construction Problems,Inverse Inversions,https://cses.fi/problemset/task/2214
Construction Problems,Monotone Subsequences,https://cses.fi/problemset/task/2215
Construction Problems,Third Permutation,https://cses.fi/problemset/task/3422
Construction Problems,Permutation Prime Sums,https://cses.fi/problemset/task/3423
Construction Problems,Chess Tournament,https://cses.fi/problemset/task/1697
Construction Problems,Distinct Sums Grid,https://cses.fi/problemset/task/3424
Construction Problems,Filling Trominos,https://cses.fi/problemset/task/2423
Construction Problems,Grid Path Construction,https://cses.fi/problemset/task/2418
Advanced Graph Problems,Nearest Shops,https://cses.fi/problemset/task/3303
Advanced Graph Problems,Prüfer Code,https://cses.fi/problemset/task/1134
Advanced Graph Problems,Tree Traversals,https://cses.fi/problemset/task/1702
Advanced Graph Problems,Course Schedule II,https://cses.fi/problemset/task/1757
Advanced Graph Problems,Acyclic Graph Edges,https://cses.fi/problemset/task/1756
Advanced Graph Problems,Strongly Connected Edges,https://cses.fi/problemset/task/2177
Advanced Graph Problems,Even Outdegree Edges,https://cses.fi/problemset/task/2179
Advanced Graph Problems,Graph Girth,https://cses.fi/problemset/task/1707
